谓词,中文标签,定义域类型,值域类型
met_with,会见,"[""Organization"", ""Person""]","[""Organization"", ""Person""]"
occurred_at,发生于地点,"[""Event""]","[""Place""]"
occurred_during,发生于时间,"[""Event""]","[""TimePeriod""]"
opposed,反对,"[""Organization"", ""Person""]","[""Event"", ""Organization"", ""Person""]"
organized,组织,"[""Organization"", ""Person""]","[""Event"", ""Organization""]"
originated_at,形成于地点,"[""Spirit"", ""ValueFacet""]","[""Place""]"
originated_from_event,孕育于,"[""Spirit"", ""ValueFacet""]","[""Event""]"
part_of,组成部分,"[""CreativeWork"", ""Document"", ""Event""]","[""CreativeWork"", ""Document"", ""Event""]"
participated_in,参与,"[""Organization"", ""Person""]","[""Event""]"
position_in,职务属于机构,"[""Position""]","[""Institution"", ""Organization""]"
preserved_at,保存于,"[""Artifact"", ""Document""]","[""Institution"", ""Organization"", ""Place""]"
protected,保护,"[""Organization"", ""Person""]","[""Event"", ""Organization"", ""Person""]"
prototype_for,原型人物,"[""Event"", ""Person""]","[""CreativeWork""]"
published_by,出版发行于,"[""CreativeWork"", ""Document""]","[""Organization""]"
recruited,发展吸收,"[""Organization"", ""Person""]","[""Person""]"
reported_to,汇报于,"[""Organization"", ""Person""]","[""Organization"", ""Person""]"
represented_in,表现于文艺作品,"[""Spirit"", ""ValueFacet""]","[""CreativeWork""]"
rescued,营救,"[""Organization"", ""Person""]","[""Person""]"
responsible_for,负责,"[""Organization"", ""Person""]","[""Event"", ""Organization"", ""Place""]"
spouse_of,配偶,"[""Person""]","[""Person""]"
stationed_at,驻守于,"[""Organization"", ""Person""]","[""Place""]"
studied_at,学习于,"[""Person""]","[""Institution"", ""Place""]"
supported,支持,"[""Organization"", ""Person""]","[""Event"", ""Organization"", ""Person""]"
symbolized_by,物化承载于,"[""Spirit"", ""ValueFacet""]","[""Artifact""]"
trained,培养,"[""Organization"", ""Person""]","[""Person""]"
transmitted_by,传承于,"[""Spirit"", ""ValueFacet""]","[""Document"", ""Institution"", ""Organization""]"
traveled_to,前往,"[""Organization"", ""Person""]","[""Place""]"
used_artifact,使用物品,"[""Organization"", ""Person""]","[""Artifact""]"
used_in_event,用于事件,"[""Artifact""]","[""Event""]"
visited,访问,"[""Organization"", ""Person""]","[""Institution"", ""Organization"", ""Place""]"
within_basin,属于流域区段,"[""AdministrativeRegion"", ""Place""]","[""BasinSection""]"
worked_at,工作于,"[""Person""]","[""Institution"", ""Organization"", ""Place""]"
